0,10
0.0625,9.7873
0.125,9.566
0.1875,9.3359
0.25,9.0972
0.3125,8.8498
0.375,8.5938
0.4375,8.329
0.5,8.0556
0.5625,7.7734
0.625,7.4826
0.6875,7.1832
0.75,6.875
0.8125,6.5582
0.875,6.2326
0.9375,5.8984
1,5.5556
1.0625,5.204
1.125,4.8438
1.1875,4.4748
1.25,4.0972
1.3125,3.7109
1.375,3.316
1.4375,2.9123
1.4375,2.9123
1.4963,3.2752
1.555,3.6293
1.6138,3.9748
1.6725,4.3116
1.7313,4.6398
1.79,4.9592
1.8488,5.27
1.9075,5.572
1.9663,5.8655
2.025,6.1502
2.0838,6.4262
2.1425,6.6936
2.2012,6.9523
2.26,7.2023
2.3188,7.4436
2.3775,7.6762
2.4362,7.9002
2.495,8.1155
2.5537,8.322
2.6125,8.52
2.6713,8.7092
2.73,8.8898
2.7887,9.0616
2.8475,9.2248
2.9062,9.3793
2.965,9.5252
3.0238,9.6623
3.0825,9.7908
3.1413,9.9106
3.2,10.022
3.2588,10.124
3.3175,10.218
3.3763,10.303
3.435,10.379
3.4938,10.447
3.5525,10.506
3.6113,10.556
3.67,10.598
3.7288,10.631
3.7875,10.655
3.8463,10.671
3.905,10.678
3.9638,10.676
4.0225,10.666
4.0813,10.647
4.14,10.619
4.1988,10.582
4.2575,10.537
4.3163,10.484
4.375,10.421
4.4338,10.35
4.4925,10.27
4.5513,10.181
4.61,10.084
4.6688,9.9783
4.7275,9.8637
4.7863,9.7405
4.845,9.6085
4.9038,9.4679
4.9625,9.3186
5.0213,9.1606
5.08,8.9939
5.1388,8.8186
5.1975,8.6345
5.2563,8.4418
5.315,8.2405
5.3738,8.0304
5.4325,7.8116
5.4913,7.5842
5.55,7.3481
5.6088,7.1033
5.6675,6.8498
5.7263,6.5877
5.785,6.3168
5.8438,6.0373
5.9025,5.7491
5.9613,5.4523
6.02,5.1467
6.0788,4.8325
6.1375,4.5095
6.1963,4.178
6.255,3.8377
6.3138,3.4887
6.3725,3.1311
6.4313,2.7648
6.4313,2.7648
6.4863,3.0556
6.5413,3.3377
6.5963,3.6111
6.6513,3.8759
6.7063,4.1319
6.7613,4.3793
6.8163,4.6181
6.8713,4.8481
6.9263,5.0694
6.9813,5.2821
7.0363,5.4861
7.0913,5.6814
7.1463,5.8681
7.2013,6.046
7.2563,6.2153
7.3113,6.3759
7.3663,6.5278
7.4213,6.671
7.4763,6.8056
7.5313,6.9314
7.5863,7.0486
7.6413,7.1571
7.6963,7.2569
7.7513,7.3481
7.8063,7.4306
7.8613,7.5043
7.9162,7.5694
7.9712,7.6259
8.0262,7.6736
8.0812,7.7127
8.1362,7.7431
8.1912,7.7648
8.2462,7.7778
8.3012,7.7821
8.3562,7.7778
8.4112,7.7648
8.4662,7.7431
8.5212,7.7127
8.5762,7.6736
8.6312,7.6259
8.6862,7.5694
8.7412,7.5043
8.7962,7.4306
8.8512,7.3481
8.9062,7.2569
8.9612,7.1571
9.0162,7.0486
9.0712,6.9314
9.1262,6.8056
9.1812,6.671
9.2362,6.5278
9.2912,6.3759
9.3462,6.2153
9.4012,6.046
9.4562,5.8681
9.5112,5.6814
9.5662,5.4861
9.6212,5.2821
9.6762,5.0694
9.7312,4.8481
9.7862,4.6181
9.8412,4.3793
9.8962,4.1319
9.9512,3.8759
10.006,3.6111
10.061,3.3377
10.116,3.0556
10.116,3.0556
10.167,3.2548
10.219,3.4453
10.27,3.6272
10.321,3.8003
10.372,3.9648
10.424,4.1207
10.475,4.2678
10.526,4.4063
10.577,4.536
10.629,4.6571
10.68,4.7695
10.731,4.8733
10.782,4.9683
10.834,5.0547
10.885,5.1324
10.936,5.2014
10.987,5.2617
11.039,5.3134
11.09,5.3563
11.141,5.3906
11.192,5.4162
11.244,5.4332
11.295,5.4414
11.346,5.441
11.397,5.4319
11.449,5.4141
11.5,5.3876
11.551,5.3524
11.602,5.3086
11.654,5.2561
11.705,5.1949
11.756,5.125
11.807,5.0464
11.859,4.9592
11.91,4.8633
11.961,4.7587
12.012,4.6454
12.064,4.5234
12.115,4.3928
12.166,4.2535
12.217,4.1055
12.269,3.9488
12.32,3.7834
12.371,3.6094
12.422,3.4266
12.474,3.2352
12.525,3.0352
12.576,2.8264
12.627,2.6089
12.627,2.6089
12.727,2.6089
12.827,2.6089
12.927,2.6089
13.027,2.6089
13.127,2.6089
13.227,2.6089
13.327,2.6089
